Site,Species,Breed,Pet_DOB,Gender,Neutered,Purchase_Price
PDSA,Dog,Newfoundland,01/04/2021,Female,No,2700
PDSA,Dog,Poodle (Toy),01/06/2021,Male,No,1000
PDSA,Dog,Poodle (Toy),01/12/2020,Male,No,2500
PDSA,Dog,Poodle (Toy),27/01/2019,Male,Yes,1500
PDSA,Dog,Retriever (Golden),07/11/2014,Female,No,430
PDSA,Dog,Rottweiler,01/04/2017,Female,Yes,300
PDSA,Dog,Samoyed,01/03/2019,Male,Yes,660
PDSA,Dog,Spaniel (English Springer),01/04/2021,Male,Yes,1000
PDSA,Dog,Spaniel (English Springer),01/01/2015,Male,No,400
PDSA,Dog,Staffordshire Bull Terrier,01/05/2017,Female,Yes,1000
PDSA,Dog,Yorkshire Terrier,01/12/2021,Male,No,1200
PDSA,Dog,A MEDIUM MONGREL (10 - 20KG),20/09/2021,Male,No,200
PDSA,Dog,A MEDIUM MONGREL (10 - 20KG),26/03/2015,Female,No,200
PDSA,Dog,A SMALL MONGREL (UP TO 10KG),22/12/2021,Male,No,450
PDSA,Dog,A SMALL MONGREL (UP TO 10KG),01/04/2019,Male,Yes,350
PDSA,Dog,A SMALL MONGREL (UP TO 10KG),01/09/2016,Female,Yes,0
PDSA,Dog,Australian Terrier,10/10/2019,Male,No,325
PDSA,Dog,Basset Hound,16/11/2015,Female,Yes,700
PDSA,Dog,Beagle,21/09/2015,Male,Yes,0
PDSA,Dog,Bichon Frise,01/11/2017,Female,Yes,600
PDSA,Dog,Bulldog,08/11/2021,Male,No,800
PDSA,Dog,Bulldog,01/07/2021,Male,No,4000
PDSA,Dog,Bulldog,01/08/2020,Male,No,2500
PDSA,Dog,Bulldog,01/02/2017,Male,Yes,1800
PDSA,Dog,Cockerpoo,01/12/2019,Male,Yes,800
PDSA,Dog,Dogue de Bordeaux,01/11/2017,Female,Yes,1000
PDSA,Dog,Giant Schnauzer,19/01/2018,Female,Yes,900
PDSA,Dog,Poodle (Toy),01/01/2021,Female,Yes,3500
PDSA,Dog,Saluki,23/03/2020,Female,No,350
PDSA,Dog,Shetland Sheepdog,01/07/2015,Female,No,700
PDSA,Dog,Siberian Husky,01/10/2018,Female,Yes,300
PDSA,Dog,Siberian Husky,10/09/2017,Male,Yes,300
PDSA,Dog,Spaniel (Cocker),28/08/2021,Female,No,600
PDSA,Dog,Spaniel (Cocker),01/06/2020,Male,No,1000
PDSA,Dog,Spaniel (Cocker),01/06/2019,Male,No,400
PDSA,Dog,A LARGE MONGREL (MORE THAN 20KG),02/10/2021,Female,No,400
PDSA,Dog,A MEDIUM MONGREL (10 - 20KG),01/09/2021,Male,No,800
PDSA,Dog,A MEDIUM MONGREL (10 - 20KG),11/06/2019,Male,No,150
PDSA,Dog,Alsatian,01/09/2018,Female,No,150
PDSA,Dog,Australian Shepherd Dog,01/01/2022,Female,No,1800
PDSA,Dog,Basenji,23/11/2020,Male,Yes,1500
PDSA,Dog,Beagle,01/10/2019,Female,Yes,1000
PDSA,Dog,Beagle,15/09/2014,Male,Yes,150
PDSA,Dog,Belgian Shepherd Dog (Malinois),01/12/2021,Male,No,1000
PDSA,Dog,Bulldog,18/02/2020,Male,No,200
PDSA,Dog,Bulldog,01/07/2018,Male,No,2000
PDSA,Dog,Cavalier King Charles Spaniel,01/08/2021,Female,Yes,2000
PDSA,Dog,Chow Chow,01/10/2016,Female,No,2000
PDSA,Dog,Dobermann,25/01/2022,Male,No,1700
PDSA,Dog,Dogue de Bordeaux,01/11/2021,Male,No,1500
