Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Dog,Chinese Crested (Powder Puff),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chinese Crested Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chinese Hairless,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chion,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chiweenie,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chorkie,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chow Chow,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Chug,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cirneco Dell',4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Etna,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Clumber Spaniel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cockapoo,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cocker Spaniel (Miniature),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cockerpoo,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Collie,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Collie (Rough),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Continental Landseer,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Coonhound,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Corgi,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Coton de Tulear,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Curly Coated Retriever,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Cyprus Poodle,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Czesky Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dachsbracke,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dachshund,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dachshund (Long-Haired),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dachshund (Minature Long-Haired),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dachshund (Minature Short-Haired),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dachshund (Miniature Wire-Haired),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dachshund (Miniature),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dachshund (Wire-Haired),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dachshund Smooth haired,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dachshunddoodle,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dalmatian,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dandie Dinmont Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Danish Pointer,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Danish-Swedish Farmdog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Deerhound,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dobermann,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dogue de Bordeaux,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dorset Old Tyme Bulldog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Doxiedoodle,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Doxihuahua,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Drentse Partridge Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dutch Herder/Shepherd,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Dutch Kooiker,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Elkhound,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Bull Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Bull Terrier (Minature),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Bulldog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Bullmastiff,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Cocker Spaniel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Cocker Spaniel (Minature),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Mastiff,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Pointer,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Setter,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Sheepdog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Shepherd Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Springer Spaniel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Terrier (Miniature),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Toy Spaniel,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,English Toy Terrier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Entlebucher Mountain Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Entlebucher Sennenhund,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Epagneul Francais,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Estrela Mountain Dog,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Eurasier,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Eurasier (Large),4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
Dog,Farm Collie,4,Male,Yes,Free,Accident & Illness - Lifetime - £1000 or more
