Site,Pet,Breed,Age,Gender,Neutered,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Blue Belton,4,Male,Yes,£14.55,£174.60,£99,1000
Animal Friends,Dog,Blue Belton,4,Male,Yes,£25.39,£304.68,£99,2000
Animal Friends,Dog,Blue Belton,4,Male,Yes,£37.51,£450.12,£99,4000
Animal Friends,Dog,Blue Heeler,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Blue Heeler,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Blue Heeler,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Boar Hounds,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Boar Hounds,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Boar Hounds,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Boerboel,4,Male,Yes,£23.33,£279.96,£99,1000
Animal Friends,Dog,Boerboel,4,Male,Yes,£40.73,£488.76,£99,2000
Animal Friends,Dog,Boerboel,4,Male,Yes,£60.17,£722.04,£99,4000
Animal Friends,Dog,Bohemian Shepherd,4,Male,Yes,£13.33,£159.96,£99,1000
Animal Friends,Dog,Bohemian Shepherd,4,Male,Yes,£23.25,£279.00,£99,2000
Animal Friends,Dog,Bohemian Shepherd,4,Male,Yes,£34.36,£412.32,£99,4000
Animal Friends,Dog,Bolognese,4,Male,Yes,£10.96,£131.52,£99,1000
Animal Friends,Dog,Bolognese,4,Male,Yes,£19.13,£229.56,£99,2000
Animal Friends,Dog,Bolognese,4,Male,Yes,£28.26,£339.12,£99,4000
Animal Friends,Dog,Borador,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Borador,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Borador,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Border Collie,4,Male,Yes,£9.07,£108.84,£99,1000
Animal Friends,Dog,Border Collie,4,Male,Yes,£15.84,£190.08,£99,2000
Animal Friends,Dog,Border Collie,4,Male,Yes,£23.40,£280.80,£99,4000
Animal Friends,Dog,Border Terrier,4,Male,Yes,£8.30,£99.60,£99,1000
Animal Friends,Dog,Border Terrier,4,Male,Yes,£14.49,£173.88,£99,2000
Animal Friends,Dog,Border Terrier,4,Male,Yes,£21.40,£256.80,£99,4000
Animal Friends,Dog,Borzoi,4,Male,Yes,£14.90,£178.80,£99,1000
Animal Friends,Dog,Borzoi,4,Male,Yes,£26.01,£312.12,£99,2000
Animal Friends,Dog,Borzoi,4,Male,Yes,£38.42,£461.04,£99,4000
Animal Friends,Dog,Bosnian Shepherd Dog,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Bosnian Shepherd Dog,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Bosnian Shepherd Dog,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Boston Terrier,4,Male,Yes,£14.55,£174.60,£99,1000
Animal Friends,Dog,Boston Terrier,4,Male,Yes,£25.39,£304.68,£99,2000
Animal Friends,Dog,Boston Terrier,4,Male,Yes,£37.51,£450.12,£99,4000
Animal Friends,Dog,Bouvier des Flandres,4,Male,Yes,£14.90,£178.80,£99,1000
Animal Friends,Dog,Bouvier des Flandres,4,Male,Yes,£26.01,£312.12,£99,2000
Animal Friends,Dog,Bouvier des Flandres,4,Male,Yes,£38.42,£461.04,£99,4000
Animal Friends,Dog,Boxer,4,Male,Yes,£20.74,£248.88,£99,1000
Animal Friends,Dog,Boxer,4,Male,Yes,£36.20,£434.40,£99,2000
Animal Friends,Dog,Boxer,4,Male,Yes,£53.47,£641.64,£99,4000
Animal Friends,Dog,Boxweilier,4,Male,Yes,£24.47,£293.64,£99,1000
Animal Friends,Dog,Boxweilier,4,Male,Yes,£42.72,£512.64,£99,2000
Animal Friends,Dog,Boxweilier,4,Male,Yes,£63.11,£757.32,£99,4000
Animal Friends,Dog,Boykin Spaniel,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Boykin Spaniel,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Boykin Spaniel,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Bracco Italiano,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Bracco Italiano,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Bracco Italiano,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Briard,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Briard,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Briard,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Britanny,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Britanny,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Britanny,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,British Bulldog,4,Male,Yes,£20.27,£243.24,£99,1000
Animal Friends,Dog,British Bulldog,4,Male,Yes,£35.38,£424.56,£99,2000
Animal Friends,Dog,British Bulldog,4,Male,Yes,£52.27,£627.24,£99,4000
Animal Friends,Dog,Brittany,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Brittany,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Brittany,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Brittany Spaniel,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Brittany Spaniel,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Brittany Spaniel,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Broken Haired Terrier,4,Male,Yes,£6.76,£81.12,£99,1000
Animal Friends,Dog,Broken Haired Terrier,4,Male,Yes,£11.80,£141.60,£99,2000
Animal Friends,Dog,Broken Haired Terrier,4,Male,Yes,£17.44,£209.28,£99,4000
Animal Friends,Dog,Broken Haired Terriers,4,Male,Yes,£6.76,£81.12,£99,1000
Animal Friends,Dog,Broken Haired Terriers,4,Male,Yes,£11.80,£141.60,£99,2000
Animal Friends,Dog,Broken Haired Terriers,4,Male,Yes,£17.44,£209.28,£99,4000
Animal Friends,Dog,Brussels Griffon,4,Male,Yes,£12.61,£151.32,£99,1000
Animal Friends,Dog,Brussels Griffon,4,Male,Yes,£22.02,£264.24,£99,2000
Animal Friends,Dog,Brussels Griffon,4,Male,Yes,£32.52,£390.24,£99,4000
Animal Friends,Dog,Bug,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Bug,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Bug,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Buggle,4,Male,Yes,£11.78,£141.36,£99,1000
Animal Friends,Dog,Buggle,4,Male,Yes,£20.56,£246.72,£99,2000
Animal Friends,Dog,Buggle,4,Male,Yes,£30.37,£364.44,£99,4000
Animal Friends,Dog,Bull Terrier,4,Male,Yes,£17.27,£207.24,£99,1000
Animal Friends,Dog,Bull Terrier,4,Male,Yes,£30.14,£361.68,£99,2000
Animal Friends,Dog,Bull Terrier,4,Male,Yes,£44.53,£534.36,£99,4000
Animal Friends,Dog,Bull Terrier (Miniature),4,Male,Yes,£17.27,£207.24,£99,1000
Animal Friends,Dog,Bull Terrier (Miniature),4,Male,Yes,£30.14,£361.68,£99,2000
