Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Neapolitan Mastiff,4,Male,Yes,Free,£84.83,£1017.96,£99,4000
Animal Friends,Dog,Neapolitan Mastiff,4,Male,Yes,Free,£112.68,£1352.16,£99,6000
Animal Friends,Dog,Nevers Griffon,4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,Nevers Griffon,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Nevers Griffon,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Nevers Griffon,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,New Zealand Huntaway,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,New Zealand Huntaway,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,New Zealand Huntaway,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,New Zealand Huntaway,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Newfoundland,4,Male,Yes,Free,£16.62,£199.44,£99,1000
Animal Friends,Dog,Newfoundland,4,Male,Yes,Free,£30.03,£360.36,£99,2000
Animal Friends,Dog,Newfoundland,4,Male,Yes,Free,£43.30,£519.60,£99,4000
Animal Friends,Dog,Newfoundland,4,Male,Yes,Free,£57.51,£690.12,£99,6000
Animal Friends,Dog,Newfoundland Landseer,4,Male,Yes,Free,£16.62,£199.44,£99,1000
Animal Friends,Dog,Newfoundland Landseer,4,Male,Yes,Free,£30.03,£360.36,£99,2000
Animal Friends,Dog,Newfoundland Landseer,4,Male,Yes,Free,£43.30,£519.60,£99,4000
Animal Friends,Dog,Newfoundland Landseer,4,Male,Yes,Free,£57.51,£690.12,£99,6000
Animal Friends,Dog,Non-Pedigree,4,Male,Yes,Free,£7.02,£84.24,£99,1000
Animal Friends,Dog,Non-Pedigree,4,Male,Yes,Free,£12.69,£152.28,£99,2000
Animal Friends,Dog,Non-Pedigree,4,Male,Yes,Free,£18.29,£219.48,£99,4000
Animal Friends,Dog,Non-Pedigree,4,Male,Yes,Free,£24.30,£291.60,£99,6000
Animal Friends,Dog,Norfold Labrador,4,Male,Yes,Free,£10.51,£126.12,£99,1000
Animal Friends,Dog,Norfold Labrador,4,Male,Yes,Free,£18.97,£227.64,£99,2000
Animal Friends,Dog,Norfold Labrador,4,Male,Yes,Free,£27.36,£328.32,£99,4000
Animal Friends,Dog,Norfold Labrador,4,Male,Yes,Free,£36.34,£436.08,£99,6000
Animal Friends,Dog,Norfolk Terrier,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Norfolk Terrier,4,Male,Yes,Free,£15.21,£182.52,£99,2000
