site,Species,Breed,Age,Gender,Neutered,Purchase Price,Product
Pet Plan,Dog,Chihuahua,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chinese Chong Quing Dog,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chinese Crested,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chinese Crested Hairless,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chinese Crested Powder Puff,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chinese Crestepoo,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chinook,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chiweenie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chocolate Labrador,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chonzer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chorkie,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chow Chow,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chug,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Chusky (Chowski),4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cirneco dell'Etna,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Clumber Spaniel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Clumberdoodle,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cock-A-Chon,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cockalier,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cockapoo,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cockapug,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cocker Jack,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cocker Spaniel,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cockeranian,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cockerdor,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Continental Landseer,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Corgi,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Corgipoo,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Corjack,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Coton De Tulear,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Coton-Poo,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cotonese,4,Male,Yes,Free,Covered For Life - £4000 or more
Pet Plan,Dog,Cretan Hound,4,Male,Yes,Free,Covered For Life - £4000 or more
