Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Australian Cattle Dog,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Australian Cattle Dog,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Australian Cattle Dog,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Australian Kelpie Sheepdog,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Australian Kelpie Sheepdog,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Australian Kelpie Sheepdog,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Australian Kelpie Sheepdog,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Australian Labradoodle,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Australian Labradoodle,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Australian Labradoodle,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Australian Labradoodle,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Australian Shepherd,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Australian Shepherd,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Australian Shepherd,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Australian Shepherd,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Australian Shepherd Dog,4,Male,Yes,Free,£10.94,£131.28,£99,1000
Animal Friends,Dog,Australian Shepherd Dog,4,Male,Yes,Free,£19.76,£237.12,£99,2000
Animal Friends,Dog,Australian Shepherd Dog,4,Male,Yes,Free,£28.49,£341.88,£99,4000
Animal Friends,Dog,Australian Shepherd Dog,4,Male,Yes,Free,£37.84,£454.08,£99,6000
Animal Friends,Dog,Australian Silky Terrier,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Australian Silky Terrier,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Australian Silky Terrier,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Australian Silky Terrier,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Australian Terrier,4,Male,Yes,Free,£9.17,£110.04,£99,1000
Animal Friends,Dog,Australian Terrier,4,Male,Yes,Free,£16.56,£198.72,£99,2000
Animal Friends,Dog,Australian Terrier,4,Male,Yes,Free,£23.88,£286.56,£99,4000
Animal Friends,Dog,Australian Terrier,4,Male,Yes,Free,£31.73,£380.76,£99,6000
Animal Friends,Dog,Austrian Pinscher,4,Male,Yes,Free,£13.47,£161.64,£99,1000
Animal Friends,Dog,Austrian Pinscher,4,Male,Yes,Free,£24.34,£292.08,£99,2000
Animal Friends,Dog,Austrian Pinscher,4,Male,Yes,Free,£35.10,£421.20,£99,4000
Animal Friends,Dog,Austrian Pinscher,4,Male,Yes,Free,£46.63,£559.56,£99,6000
Animal Friends,Dog,Aylestone Bulldog,4,Male,Yes,Free,£17.57,£210.84,£99,1000
Animal Friends,Dog,Aylestone Bulldog,4,Male,Yes,Free,£31.74,£380.88,£99,2000
Animal Friends,Dog,Aylestone Bulldog,4,Male,Yes,Free,£45.76,£549.12,£99,4000
Animal Friends,Dog,Aylestone Bulldog,4,Male,Yes,Free,£60.79,£729.48,£99,6000
Animal Friends,Dog,Azawakh,4,Male,Yes,Free,£17.57,£210.84,£99,1000
Animal Friends,Dog,Azawakh,4,Male,Yes,Free,£31.74,£380.88,£99,2000
Animal Friends,Dog,Azawakh,4,Male,Yes,Free,£45.76,£549.12,£99,4000
Animal Friends,Dog,Azawakh,4,Male,Yes,Free,£60.79,£729.48,£99,6000
Animal Friends,Dog,Barbet,4,Male,Yes,Free,£7.57,£90.84,£99,1000
Animal Friends,Dog,Barbet,4,Male,Yes,Free,£13.69,£164.28,£99,2000
Animal Friends,Dog,Barbet,4,Male,Yes,Free,£19.73,£236.76,£99,4000
Animal Friends,Dog,Barbet,4,Male,Yes,Free,£26.21,£314.52,£99,6000
Animal Friends,Dog,Basenji,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Basenji,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Basenji,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Basenji,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Basset Artesien Norman,4,Male,Yes,Free,£11.73,£140.76,£99,1000
Animal Friends,Dog,Basset Artesien Norman,4,Male,Yes,Free,£21.18,£254.16,£99,2000
Animal Friends,Dog,Basset Artesien Norman,4,Male,Yes,Free,£30.53,£366.36,£99,4000
Animal Friends,Dog,Basset Artesien Norman,4,Male,Yes,Free,£40.56,£486.72,£99,6000
Animal Friends,Dog,Basset Bleu De Gascogne,4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Basset Bleu De Gascogne,4,Male,Yes,Free,£15.21,£182.52,£99,2000
Animal Friends,Dog,Basset Bleu De Gascogne,4,Male,Yes,Free,£21.93,£263.16,£99,4000
Animal Friends,Dog,Basset Bleu De Gascogne,4,Male,Yes,Free,£29.13,£349.56,£99,6000
Animal Friends,Dog,Basset Bleu De Gascogne (Medium),4,Male,Yes,Free,£8.42,£101.04,£99,1000
Animal Friends,Dog,Basset Bleu De Gascogne (Medium),4,Male,Yes,Free,£15.21,£182.52,£99,2000
