Site,Pet,Breed,Age,Gender,Neutered,Purchase Price,Monthly,Yearly,Vet Excess,Annual Condition Limit
Animal Friends,Dog,Boston Terrier,4,Male,Yes,Free,£25.39,£304.68,£99,2000
Animal Friends,Dog,Boston Terrier,4,Male,Yes,Free,£37.51,£450.12,£99,4000
Animal Friends,Dog,Irish Setter,4,Male,Yes,Free,£14.55,£174.60,£99,1000
Animal Friends,Dog,Irish Setter,4,Male,Yes,Free,£25.39,£304.68,£99,2000
Animal Friends,Dog,Irish Setter,4,Male,Yes,Free,£37.51,£450.12,£99,4000
Animal Friends,Dog,German Short-Haired Pointer,4,Male,Yes,Free,£14.90,£178.80,£99,1000
Animal Friends,Dog,German Short-Haired Pointer,4,Male,Yes,Free,£26.01,£312.12,£99,2000
Animal Friends,Dog,German Short-Haired Pointer,4,Male,Yes,Free,£38.42,£461.04,£99,4000
Animal Friends,Dog,Irish Wolfhound,4,Male,Yes,Free,£14.90,£178.80,£99,1000
Animal Friends,Dog,Irish Wolfhound,4,Male,Yes,Free,£26.01,£312.12,£99,2000
Animal Friends,Dog,Irish Wolfhound,4,Male,Yes,Free,£38.42,£461.04,£99,4000
Animal Friends,Dog,Weimaraner,4,Male,Yes,Free,£15.95,£191.40,£99,1000
Animal Friends,Dog,Weimaraner,4,Male,Yes,Free,£27.83,£333.96,£99,2000
Animal Friends,Dog,Weimaraner,4,Male,Yes,Free,£41.13,£493.56,£99,4000
Animal Friends,Dog,English Bull Terrier,4,Male,Yes,Free,£17.27,£207.24,£99,1000
Animal Friends,Dog,English Bull Terrier,4,Male,Yes,Free,£30.14,£361.68,£99,2000
Animal Friends,Dog,English Bull Terrier,4,Male,Yes,Free,£44.53,£534.36,£99,4000
Animal Friends,Dog,Rhodesian Ridgeback,4,Male,Yes,Free,£19.91,£238.92,£99,1000
Animal Friends,Dog,Rhodesian Ridgeback,4,Male,Yes,Free,£34.76,£417.12,£99,2000
Animal Friends,Dog,Rhodesian Ridgeback,4,Male,Yes,Free,£51.35,£616.20,£99,4000
Animal Friends,Dog,Newfoundland,4,Male,Yes,Free,£19.91,£238.92,£99,1000
Animal Friends,Dog,Newfoundland,4,Male,Yes,Free,£34.76,£417.12,£99,2000
Animal Friends,Dog,Newfoundland,4,Male,Yes,Free,£51.35,£616.20,£99,4000
Animal Friends,Dog,Bulldog,4,Male,Yes,Free,£20.27,£243.24,£99,1000
Animal Friends,Dog,Bulldog,4,Male,Yes,Free,£35.38,£424.56,£99,2000
Animal Friends,Dog,Bulldog,4,Male,Yes,Free,£52.27,£627.24,£99,4000
Animal Friends,Dog,Italian Spinone,4,Male,Yes,Free,£20.27,£243.24,£99,1000
Animal Friends,Dog,Italian Spinone,4,Male,Yes,Free,£35.38,£424.56,£99,2000
Animal Friends,Dog,Italian Spinone,4,Male,Yes,Free,£52.27,£627.24,£99,4000
Animal Friends,Dog,French Bulldog,4,Male,Yes,Free,£20.74,£248.88,£99,1000
Animal Friends,Dog,French Bulldog,4,Male,Yes,Free,£36.20,£434.40,£99,2000
Animal Friends,Dog,French Bulldog,4,Male,Yes,Free,£53.47,£641.64,£99,4000
Animal Friends,Dog,Boxer,4,Male,Yes,Free,£20.74,£248.88,£99,1000
Animal Friends,Dog,Boxer,4,Male,Yes,Free,£36.20,£434.40,£99,2000
Animal Friends,Dog,Boxer,4,Male,Yes,Free,£53.47,£641.64,£99,4000
Animal Friends,Dog,Great Dane,4,Male,Yes,Free,£23.33,£279.96,£99,1000
Animal Friends,Dog,Great Dane,4,Male,Yes,Free,£40.73,£488.76,£99,2000
Animal Friends,Dog,Great Dane,4,Male,Yes,Free,£60.17,£722.04,£99,4000
Animal Friends,Dog,St. Bernard,4,Male,Yes,Free,£23.33,£279.96,£99,1000
Animal Friends,Dog,St. Bernard,4,Male,Yes,Free,£40.73,£488.76,£99,2000
Animal Friends,Dog,St. Bernard,4,Male,Yes,Free,£60.17,£722.04,£99,4000
Animal Friends,Dog,Dobermann,4,Male,Yes,Free,£24.05,£288.60,£99,1000
Animal Friends,Dog,Dobermann,4,Male,Yes,Free,£41.98,£503.76,£99,2000
Animal Friends,Dog,Dobermann,4,Male,Yes,Free,£62.01,£744.12,£99,4000
Animal Friends,Dog,Bernese Mountain Dog,4,Male,Yes,Free,£24.05,£288.60,£99,1000
Animal Friends,Dog,Bernese Mountain Dog,4,Male,Yes,Free,£41.98,£503.76,£99,2000
Animal Friends,Dog,Bernese Mountain Dog,4,Male,Yes,Free,£62.01,£744.12,£99,4000
Animal Friends,Dog,Rottweiler,4,Male,Yes,Free,£24.47,£293.64,£99,1000
Animal Friends,Dog,Rottweiler,4,Male,Yes,Free,£42.72,£512.64,£99,2000
Animal Friends,Dog,Rottweiler,4,Male,Yes,Free,£63.11,£757.32,£99,4000
Animal Friends,Dog,Neapolitan Mastiff,4,Male,Yes,Free,£33.49,£401.88,£99,1000
Animal Friends,Dog,Neapolitan Mastiff,4,Male,Yes,Free,£58.45,£701.40,£99,2000
Animal Friends,Dog,Neapolitan Mastiff,4,Male,Yes,Free,£86.35,"£1,036.20",£99,4000
Animal Friends,Dog,French Mastiff,4,Male,Yes,Free,£33.49,£401.88,£99,1000
Animal Friends,Dog,French Mastiff,4,Male,Yes,Free,£58.45,£701.40,£99,2000
Animal Friends,Dog,French Mastiff,4,Male,Yes,Free,£86.35,"£1,036.20",£99,4000
Animal Friends,Dog,Cocker Spaniel,4,Male,No,Free,£10.17,£122.04,£99,1000
Animal Friends,Dog,Cocker Spaniel,4,Male,No,Free,£17.75,£213.00,£99,2000
Animal Friends,Dog,Cocker Spaniel,4,Male,No,Free,£26.22,£314.64,£99,4000
Animal Friends,Dog,Cocker Spaniel,4,Female,Yes,Free,£10.17,£122.04,£99,1000
Animal Friends,Dog,Cocker Spaniel,4,Female,Yes,Free,£17.75,£213.00,£99,2000
Animal Friends,Dog,Cocker Spaniel,4,Female,Yes,Free,£26.22,£314.64,£99,4000
Animal Friends,Dog,Cocker Spaniel,4,Female,No,Free,£10.17,£122.04,£99,1000
